@relation wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0

@attribute fixedacid numeric
@attribute volacid numeric
@attribute citricacid numeric
@attribute residualsugar numeric
@attribute chlorides numeric
@attribute freesulfur numeric
@attribute totalsulfur numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,6
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6
9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,6
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6
6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6
6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8
6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6
6.8,0.26,0.29,16.95,0.056,48,179,0.9998,3.45,0.4,9.6,5
7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,5
6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,6
6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5
7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5
7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5
6.9,0.28,0.31,7.2,0.04,47,168,0.9946,3.29,0.57,10.6,7
6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4,7
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6
6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3,6
6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,6
6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4
6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7
7,0.25,0.56,2,0.035,20,95,0.9918,3.23,0.53,11,6
5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,6
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5
6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5
6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7
7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,7
5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,6
8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6
5.7,0.33,0.32,1.4,0.043,28,93,0.9897,3.31,0.5,12.3,6
7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,7
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
5.7,0.39,0.25,4.9,0.033,49,113,0.98966,3.26,0.58,13.1,7
7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,5
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5
6.4,0.28,0.22,12.8,0.039,51,150,0.99535,3.23,0.43,10.7,6
7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6
6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,5
5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6
6.8,0.28,0.36,7,0.043,60,207,0.99556,3.16,0.49,9.6,6
5.8,0.58,0,1.5,0.02,33,96,0.98918,3.29,0.38,12.4,6
5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5
7.4,0.25,0.29,6.8,0.02,31,113,0.99338,3.13,0.29,10.8,6
6.4,0.3,0.27,4.4,0.055,17,135,0.9925,3.23,0.44,12.2,6
6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7
6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,6
5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7
6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6
6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,6
7.3,0.37,0.16,14.9,0.048,59,240,0.99902,3.13,0.45,8.9,5
6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5
6.8,0.16,0.18,1.8,0.046,31,114,0.99226,3.27,0.55,10.8,6
6.6,0.22,0.37,1.6,0.04,31,101,0.99009,3.15,0.66,12,5
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6
4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,7
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,7
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6
